dimension,key,count,notes
status,boundary_confirmed,5,迁移矩阵状态计数
status,completed,10,迁移矩阵状态计数
status,dormant_boundary_confirmed,1,迁移矩阵状态计数
status,ownership_confirmed,25,迁移矩阵状态计数
status,pending,1455,迁移矩阵状态计数
status,runtime_boundary_confirmed,10,迁移矩阵状态计数
status,script_boundary_confirmed,1,迁移矩阵状态计数
status,seed_entry_boundary_confirmed,1,迁移矩阵状态计数
status,seed_guard_boundary_confirmed,1,迁移矩阵状态计数
phase,1,352,迁移矩阵阶段计数
phase,2,9,迁移矩阵阶段计数
phase,2-8,84,迁移矩阵阶段计数
phase,3,11,迁移矩阵阶段计数
phase,4,16,迁移矩阵阶段计数
phase,4-8,393,迁移矩阵阶段计数
phase,5,50,迁移矩阵阶段计数
phase,6,39,迁移矩阵阶段计数
phase,7,30,迁移矩阵阶段计数
phase,8,191,迁移矩阵阶段计数
phase,9,94,迁移矩阵阶段计数
phase,none,62,迁移矩阵阶段计数
phase,review,178,迁移矩阵阶段计数
risk,high,693,迁移矩阵风险计数
risk,low,574,迁移矩阵风险计数
risk,medium,242,迁移矩阵风险计数
manual_review_required,no,35,人工审核要求计数
manual_review_required,yes,1474,人工审核要求计数
selected_action,API_VERSION_REVIEW,91,后续高价值治理动作
selected_action,SPLIT_REVIEW,496,后续高价值治理动作
selected_action,KEEP_LOCKED,62,后续高价值治理动作
selected_action,KEEP_MODULE_REVIEW,77,后续高价值治理动作
selected_action,KEEP_REVIEW,178,后续高价值治理动作
selected_action,KEEP_OR_RECLASSIFY,355,后续高价值治理动作
phase5_inventory,total,44,第五阶段候选闭环
phase6_closure,document_and_test,25,第五阶段候选闭环
phase7_closure,module_mock,5,第五阶段候选闭环
phase8_closure,runtime_demo,11,第五阶段候选闭环
phase9_closure,demo_script_and_seed,3,第五阶段候选闭环
phase5_remaining,audit_completed,0,第五阶段候选闭环
