group_id,slice,operation,writer_methods,fact_tables,canonical_owner,transaction_boundary,cas_stale_rule,institution_rule,timeline_evidence_rule,runtime_authorized
A1,W2_P2A_APPOINTMENTS,appointment_create,createAppointment,appointments,care,single_fact_command,primary_key_conflict_fail_closed,server_tenant_institution_plus_customer_ownership,no_new_timeline_semantics,false
A2,W2_P2A_APPOINTMENTS,appointment_update,updateAppointment,appointments,care,single_fact_command,expected_updated_at_cas,server_tenant_institution_plus_appointment_customer_ownership,no_new_timeline_semantics,false
B1,W2_P2B_FOLLOWUP_PATH_TIMELINE,treatment_source_task_create,createFollowUpTaskFromTreatmentSummarySuggestion,followUpTasks,care,single_fact_command,active_source_partial_unique_index,server_tenant_institution_customer_plus_treatment_summary_scope,no_new_timeline_semantics,false
B2,W2_P2B_FOLLOWUP_PATH_TIMELINE,manual_task_create,createManualFollowUpTask,followUpTasks,care,single_fact_command,primary_key_conflict_fail_closed,server_tenant_institution_plus_customer_ownership,no_new_timeline_semantics,false
B3,W2_P2B_FOLLOWUP_PATH_TIMELINE,task_transition,transitionFollowUpTask,followUpTasks+followUpCustomerTimelineEvents,care,care_follow_up_transaction,status_plus_observed_updated_at_cas,server_tenant_institution_task_customer_scope,task_transition_evidence_same_commit_or_rollback,false
B4,W2_P2B_FOLLOWUP_PATH_TIMELINE,path_enrollment_create_bundle,createFollowUpPathEnrollment+createFollowUpTaskFromTreatmentSummarySuggestion+createFollowUpPathStages+recordFollowUpCustomerTimelineEvent,followUpPathEnrollments+followUpTasks+followUpPathStages+followUpCustomerTimelineEvents,care,care_follow_up_transaction,active_source_template_unique_plus_source_task_unique,server_tenant_institution_customer_treatment_summary_enrollment_stage_scope,enrollment_tasks_stages_and_required_timeline_same_commit_or_rollback,false
B5,W2_P2B_FOLLOWUP_PATH_TIMELINE,path_enrollment_cancel,cancelFollowUpPathEnrollment+recordFollowUpCustomerTimelineEvent,followUpPathEnrollments+followUpCustomerTimelineEvents,care,care_follow_up_transaction,active_status_plus_observed_updated_at_cas,server_tenant_institution_enrollment_customer_scope,cancel_and_timeline_same_commit_or_rollback,false
B6,W2_P2B_FOLLOWUP_PATH_TIMELINE,care_timeline_evidence,recordFollowUpCustomerTimelineEvent,followUpCustomerTimelineEvents,care,transaction_bound_when_emitted_by_business_command,source_event_unique_index,server_tenant_institution_customer_plus_typed_source_scope,care_internal_low_sensitive_evidence_contribution,false
C1,W2_P2C_MESSAGE_DRAFT,draft_create,createFollowUpMessageDraft+recordFollowUpCustomerTimelineEvent,followUpMessageDrafts+followUpCustomerTimelineEvents,care,care_follow_up_transaction,lock_scoped_follow_up_task_for_update_then_active_draft_check,server_tenant_institution_task_enrollment_stage_customer_scope,draft_created_timeline_same_commit_or_rollback,false
C2,W2_P2C_MESSAGE_DRAFT,draft_content_update,updateFollowUpMessageDraftContent+recordFollowUpCustomerTimelineEvent,followUpMessageDrafts+followUpCustomerTimelineEvents,care,care_follow_up_transaction,draft_status_plus_expected_updated_at_cas,server_tenant_institution_draft_task_customer_scope,draft_updated_timeline_same_commit_or_rollback,false
C3,W2_P2C_MESSAGE_DRAFT,draft_approve_delivery_evidence,approveFollowUpMessageDraft+recordFollowUpCustomerTimelineEvent,followUpMessageDrafts+followUpCustomerTimelineEvents,care_with_audit_owner_unchanged,care_follow_up_transaction_with_audit,draft_status_plus_expected_updated_at_cas,server_tenant_institution_draft_task_customer_scope,draft_approval_delivery_timeline_and_audit_same_commit_or_rollback,false
C4,W2_P2C_MESSAGE_DRAFT,draft_reject,rejectFollowUpMessageDraft+recordFollowUpCustomerTimelineEvent,followUpMessageDrafts+followUpCustomerTimelineEvents,care,care_follow_up_transaction,draft_status_plus_expected_updated_at_cas,server_tenant_institution_draft_task_customer_scope,draft_rejected_timeline_same_commit_or_rollback,false
C5,W2_P2C_MESSAGE_DRAFT,draft_mark_sent,markFollowUpMessageDraftAsSent+recordFollowUpCustomerTimelineEvent,followUpMessageDrafts+followUpCustomerTimelineEvents,care,care_follow_up_transaction,draft_status_plus_expected_updated_at_cas,server_tenant_institution_draft_task_customer_scope,manual_mark_sent_timeline_same_commit_or_rollback_no_external_send,false
C6,W2_P2C_MESSAGE_DRAFT,controlled_reachout_prepare,updateFollowUpMessageDraftControlledReachOut,followUpMessageDrafts,care_table_owner_messaging_orchestration,existing_wecom_reachout_transaction,draft_approved_plus_expected_updated_at_plus_expected_metadata_cas,server_tenant_institution_draft_customer_scope,care_draft_cas_messaging_frequency_and_audit_same_commit_or_rollback,false
