path,route_url,version_class,api_version,domain,family_key,matrix_presence,current_category,current_recommended_action,current_recommended_target,current_risk,current_phase,current_manual_review_required,current_status,proposed_action,proposal_reason,move_now,migration_ready,review_decision,matrix_change_ready,approved_field_changes,preserved_fields,review_rationale
src/app/api/institution/wecom-customer-contact-readonly-proof-mock/route.ts,/api/institution/wecom-customer-contact-readonly-proof-mock,unversioned,unversioned,institution,/api/institution/wecom-customer-contact-readonly-proof-mock,present,institution-app,RUNTIME_BOUNDARY_CONFIRMED_KEEP_CURRENT,src/app/api/institution/wecom-customer-contact-readonly-proof-mock/route.ts,high,8,yes,runtime_boundary_confirmed,API_VERSION_REVIEW,非版本化 route.ts 未纳入第十一阶段候选,no,no,preserve_runtime_boundary_no_overwrite,no,none,current_category；recommended_target；risk；phase；manual_review_required；status；notes,已确认运行时边界，不能用单值 API_VERSION_REVIEW 覆盖既有边界结论；应另行设计多标签或 notes 记录方式
src/app/api/v1/institution/ai-models/route.ts,/api/v1/institution/ai-models,versioned,v1,institution,/api/institution/ai-models,present,institution-app,KEEP_REVIEW,src/app/api/v1/institution/ai-models/route.ts,low,review,yes,pending,API_VERSION_REVIEW,版本化 route.ts 未纳入第十一阶段候选,no,no,approve_action_only,yes,recommended_action=API_VERSION_REVIEW,current_category；recommended_target；risk；phase；manual_review_required；status；notes,当前仍为 pending KEEP_REVIEW，可仅调整治理动作，不改变风险、阶段、状态、目标路径或人工审核要求
src/app/api/v1/knowledge-base/demo-readonly/route.ts,/api/v1/knowledge-base/demo-readonly,versioned,v1,knowledge-base,/api/knowledge-base/demo-readonly,present,api-route,RUNTIME_BOUNDARY_CONFIRMED_KEEP_CURRENT,src/app/api/v1/knowledge-base/demo-readonly/route.ts,high,8,yes,runtime_boundary_confirmed,API_VERSION_REVIEW,版本化 route.ts 未纳入第十一阶段候选,no,no,preserve_runtime_boundary_no_overwrite,no,none,current_category；recommended_target；risk；phase；manual_review_required；status；notes,已确认运行时边界，不能用单值 API_VERSION_REVIEW 覆盖既有边界结论；应另行设计多标签或 notes 记录方式
src/app/api/v1/knowledge-base/runtime/documents/route.ts,/api/v1/knowledge-base/runtime/documents,versioned,v1,knowledge-base,/api/knowledge-base/runtime/documents,present,api-route,KEEP_REVIEW,src/app/api/v1/knowledge-base/runtime/documents/route.ts,low,review,yes,pending,API_VERSION_REVIEW,版本化 route.ts 未纳入第十一阶段候选,no,no,approve_action_only,yes,recommended_action=API_VERSION_REVIEW,current_category；recommended_target；risk；phase；manual_review_required；status；notes,当前仍为 pending KEEP_REVIEW，可仅调整治理动作，不改变风险、阶段、状态、目标路径或人工审核要求
src/app/api/v1/knowledge-base/runtime/documents/upload/route.ts,/api/v1/knowledge-base/runtime/documents/upload,versioned,v1,knowledge-base,/api/knowledge-base/runtime/documents/upload,present,api-route,KEEP_REVIEW,src/app/api/v1/knowledge-base/runtime/documents/upload/route.ts,low,review,yes,pending,API_VERSION_REVIEW,版本化 route.ts 未纳入第十一阶段候选,no,no,approve_action_only,yes,recommended_action=API_VERSION_REVIEW,current_category；recommended_target；risk；phase；manual_review_required；status；notes,当前仍为 pending KEEP_REVIEW，可仅调整治理动作，不改变风险、阶段、状态、目标路径或人工审核要求
src/app/api/v1/knowledge-base/runtime/index-jobs/route.ts,/api/v1/knowledge-base/runtime/index-jobs,versioned,v1,knowledge-base,/api/knowledge-base/runtime/index-jobs,present,api-route,KEEP_REVIEW,src/app/api/v1/knowledge-base/runtime/index-jobs/route.ts,low,review,yes,pending,API_VERSION_REVIEW,版本化 route.ts 未纳入第十一阶段候选,no,no,approve_action_only,yes,recommended_action=API_VERSION_REVIEW,current_category；recommended_target；risk；phase；manual_review_required；status；notes,当前仍为 pending KEEP_REVIEW，可仅调整治理动作，不改变风险、阶段、状态、目标路径或人工审核要求
src/app/api/v1/knowledge-base/runtime/index-jobs/run/route.ts,/api/v1/knowledge-base/runtime/index-jobs/run,versioned,v1,knowledge-base,/api/knowledge-base/runtime/index-jobs/run,present,api-route,KEEP_REVIEW,src/app/api/v1/knowledge-base/runtime/index-jobs/run/route.ts,low,review,yes,pending,API_VERSION_REVIEW,版本化 route.ts 未纳入第十一阶段候选,no,no,approve_action_only,yes,recommended_action=API_VERSION_REVIEW,current_category；recommended_target；risk；phase；manual_review_required；status；notes,当前仍为 pending KEEP_REVIEW，可仅调整治理动作，不改变风险、阶段、状态、目标路径或人工审核要求
src/app/api/v1/knowledge-base/runtime/search/route.ts,/api/v1/knowledge-base/runtime/search,versioned,v1,knowledge-base,/api/knowledge-base/runtime/search,present,api-route,KEEP_REVIEW,src/app/api/v1/knowledge-base/runtime/search/route.ts,low,review,yes,pending,API_VERSION_REVIEW,版本化 route.ts 未纳入第十一阶段候选,no,no,approve_action_only,yes,recommended_action=API_VERSION_REVIEW,current_category；recommended_target；risk；phase；manual_review_required；status；notes,当前仍为 pending KEEP_REVIEW，可仅调整治理动作，不改变风险、阶段、状态、目标路径或人工审核要求
src/app/api/v1/open-platform/ai-model-config/route.ts,/api/v1/open-platform/ai-model-config,versioned,v1,open-platform,/api/open-platform/ai-model-config,present,api-route,KEEP_REVIEW,src/app/api/v1/open-platform/ai-model-config/route.ts,low,review,yes,pending,API_VERSION_REVIEW,版本化 route.ts 未纳入第十一阶段候选,no,no,approve_action_only,yes,recommended_action=API_VERSION_REVIEW,current_category；recommended_target；risk；phase；manual_review_required；status；notes,当前仍为 pending KEEP_REVIEW，可仅调整治理动作，不改变风险、阶段、状态、目标路径或人工审核要求
src/app/api/v1/open-platform/ai-model-config/sync/route.ts,/api/v1/open-platform/ai-model-config/sync,versioned,v1,open-platform,/api/open-platform/ai-model-config/sync,present,api-route,KEEP_REVIEW,src/app/api/v1/open-platform/ai-model-config/sync/route.ts,low,review,yes,pending,API_VERSION_REVIEW,版本化 route.ts 未纳入第十一阶段候选,no,no,approve_action_only,yes,recommended_action=API_VERSION_REVIEW,current_category；recommended_target；risk；phase；manual_review_required；status；notes,当前仍为 pending KEEP_REVIEW，可仅调整治理动作，不改变风险、阶段、状态、目标路径或人工审核要求
