path,category,group,execution_boundary,reference_scope,reference_file_count,runtime_reachable,risk,move_now,manual_review_required,recommended_action,recommendation,reference_files
docs/product/demo/2026-07-07-v06-demo-data-and-pilot-script-01.md,历史或规划文档,A-文档历史,文档,文档,3,no,low,no,no,AUDIT_KEEP_DOCUMENT_HISTORY,保留历史位置，不参与源码移动。,docs/refactor/snapshots/2026-07-25-02-file-inventory.csv；docs/refactor/snapshots/2026-07-25-11-files-by-category.md；docs/refactor/snapshots/2026-07-25-12-development-area-index.md
docs/product/demo/2026-07-07-v06-demo-seed-low-sensitive-01.md,历史或规划文档,A-文档历史,文档,文档,3,no,low,no,no,AUDIT_KEEP_DOCUMENT_HISTORY,保留历史位置，不参与源码移动。,docs/refactor/snapshots/2026-07-25-02-file-inventory.csv；docs/refactor/snapshots/2026-07-25-11-files-by-category.md；docs/refactor/snapshots/2026-07-25-12-development-area-index.md
docs/product/handoffs/2026-06-12-v1-readonly-demo-internal-handoff-01.md,历史或规划文档,A-文档历史,文档,文档,3,no,low,no,no,AUDIT_KEEP_DOCUMENT_HISTORY,保留历史位置，不参与源码移动。,docs/refactor/snapshots/2026-07-25-02-file-inventory.csv；docs/refactor/snapshots/2026-07-25-11-files-by-category.md；docs/refactor/snapshots/2026-07-25-12-development-area-index.md
docs/product/plans/v1-knowledge-base-demo-readonly-ui-plan-01.md,历史或规划文档,A-文档历史,文档,文档,3,no,low,no,no,AUDIT_KEEP_DOCUMENT_HISTORY,保留历史位置，不参与源码移动。,docs/refactor/snapshots/2026-07-25-02-file-inventory.csv；docs/refactor/snapshots/2026-07-25-11-files-by-category.md；docs/refactor/snapshots/2026-07-25-12-development-area-index.md
docs/product/reviews/2026-06-12-v1-readonly-demo-release-candidate-review-01.md,历史或规划文档,A-文档历史,文档,文档,4,no,low,no,no,AUDIT_KEEP_DOCUMENT_HISTORY,保留历史位置，不参与源码移动。,docs/product/handoffs/2026-06-12-v1-readonly-demo-internal-handoff-01.md；docs/refactor/snapshots/2026-07-25-02-file-inventory.csv；docs/refactor/snapshots/2026-07-25-11-files-by-category.md；docs/refactor/snapshots/2026-07-25-12-development-area-index.md
docs/product/zhimei-demo-readiness-playbook.md,历史或规划文档,A-文档历史,文档,文档,6,no,low,no,no,AUDIT_KEEP_DOCUMENT_HISTORY,保留历史位置，不参与源码移动。,docs/product/zhimei-demo-rehearsal-checklist.md；docs/product/zhimei-demo-ui-polish-and-rehearsal-plan.md；docs/product/zhimeitiangong-product-source-of-truth.md；docs/refactor/snapshots/2026-07-25-02-file-inventory.csv；docs/refactor/snapshots/2026-07-25-11-files-by-category.md；docs/refactor/snapshots/2026-07-25-12-development-area-index.md
docs/product/zhimei-demo-rehearsal-checklist.md,历史或规划文档,A-文档历史,文档,文档,3,no,low,no,no,AUDIT_KEEP_DOCUMENT_HISTORY,保留历史位置，不参与源码移动。,docs/refactor/snapshots/2026-07-25-02-file-inventory.csv；docs/refactor/snapshots/2026-07-25-11-files-by-category.md；docs/refactor/snapshots/2026-07-25-12-development-area-index.md
docs/product/zhimei-demo-script.md,历史或规划文档,A-文档历史,文档,文档,6,no,low,no,no,AUDIT_KEEP_DOCUMENT_HISTORY,保留历史位置，不参与源码移动。,docs/product/zhimei-demo-rehearsal-checklist.md；docs/product/zhimei-demo-ui-polish-and-rehearsal-plan.md；docs/product/zhimeitiangong-product-source-of-truth.md；docs/refactor/snapshots/2026-07-25-02-file-inventory.csv；docs/refactor/snapshots/2026-07-25-11-files-by-category.md；docs/refactor/snapshots/2026-07-25-12-development-area-index.md
docs/product/zhimei-demo-seed-data-plan.md,历史或规划文档,A-文档历史,文档,文档,5,no,low,no,no,AUDIT_KEEP_DOCUMENT_HISTORY,保留历史位置，不参与源码移动。,docs/product/zhimei-demo-ui-polish-and-rehearsal-plan.md；docs/refactor/snapshots/2026-07-25-02-file-inventory.csv；docs/refactor/snapshots/2026-07-25-11-files-by-category.md；docs/refactor/snapshots/2026-07-25-12-development-area-index.md；docs/superpowers/specs/2026-06-02-demo-seed-data-v1-design.md
docs/product/zhimei-demo-ui-polish-and-rehearsal-plan.md,历史或规划文档,A-文档历史,文档,文档,3,no,low,no,no,AUDIT_KEEP_DOCUMENT_HISTORY,保留历史位置，不参与源码移动。,docs/refactor/snapshots/2026-07-25-02-file-inventory.csv；docs/refactor/snapshots/2026-07-25-11-files-by-category.md；docs/refactor/snapshots/2026-07-25-12-development-area-index.md
docs/superpowers/plans/2026-06-02-demo-seed-data-v1.md,历史或规划文档,A-文档历史,文档,文档,4,no,low,no,no,AUDIT_KEEP_DOCUMENT_HISTORY,保留历史位置，不参与源码移动。,docs/product/zhimei-demo-ui-polish-and-rehearsal-plan.md；docs/refactor/snapshots/2026-07-25-02-file-inventory.csv；docs/refactor/snapshots/2026-07-25-11-files-by-category.md；docs/refactor/snapshots/2026-07-25-12-development-area-index.md
docs/superpowers/plans/2026-06-22-demo-mock-runtime-data-cleanup-implementation-plan.md,历史或规划文档,A-文档历史,文档,文档,3,no,low,no,no,AUDIT_KEEP_DOCUMENT_HISTORY,保留历史位置，不参与源码移动。,docs/refactor/snapshots/2026-07-25-02-file-inventory.csv；docs/refactor/snapshots/2026-07-25-11-files-by-category.md；docs/refactor/snapshots/2026-07-25-12-development-area-index.md
docs/superpowers/specs/2026-06-02-demo-seed-data-v1-design.md,历史或规划文档,A-文档历史,文档,文档,5,no,low,no,no,AUDIT_KEEP_DOCUMENT_HISTORY,保留历史位置，不参与源码移动。,docs/product/zhimei-demo-ui-polish-and-rehearsal-plan.md；docs/refactor/snapshots/2026-07-25-02-file-inventory.csv；docs/refactor/snapshots/2026-07-25-11-files-by-category.md；docs/refactor/snapshots/2026-07-25-12-development-area-index.md；docs/superpowers/plans/2026-06-02-demo-seed-data-v1.md
docs/superpowers/specs/2026-06-22-demo-mock-runtime-data-cleanup-design.md,历史或规划文档,A-文档历史,文档,文档,3,no,low,no,no,AUDIT_KEEP_DOCUMENT_HISTORY,保留历史位置，不参与源码移动。,docs/refactor/snapshots/2026-07-25-02-file-inventory.csv；docs/refactor/snapshots/2026-07-25-11-files-by-category.md；docs/refactor/snapshots/2026-07-25-12-development-area-index.md
scripts/demo/seed-v06-low-sensitive-demo.test.ts,测试文件,B-测试归属,测试,文档,4,no,low,no,no,AUDIT_KEEP_WITH_MODULE_TESTS,继续随所属模块保留，后续只统一测试命名。,docs/product/demo/2026-07-07-v06-demo-seed-low-sensitive-01.md；docs/refactor/snapshots/2026-07-25-02-file-inventory.csv；docs/refactor/snapshots/2026-07-25-11-files-by-category.md；docs/refactor/snapshots/2026-07-25-12-development-area-index.md
scripts/demo/seed-v06-low-sensitive-demo.ts,Demo 或 Seed 脚本,E-Demo 脚本,脚本入口,文档、测试,5,no,medium,no,yes,AUDIT_KEEP_DEMO_SCRIPT_BOUNDARY,保持 scripts/demo，先核对调用入口和数据边界。,docs/product/demo/2026-07-07-v06-demo-seed-low-sensitive-01.md；docs/refactor/snapshots/2026-07-25-02-file-inventory.csv；docs/refactor/snapshots/2026-07-25-11-files-by-category.md；docs/refactor/snapshots/2026-07-25-12-development-area-index.md；scripts/demo/seed-v06-low-sensitive-demo.test.ts
src/app/api/institution/wecom-customer-contact-readonly-proof-mock/route.ts,运行时 Demo 或 Mock API,D-运行时 Demo 边界,API 路由,文档、测试,5,yes,high,no,yes,AUDIT_KEEP_RUNTIME_API_BOUNDARY,属于运行时路由，禁止按文件名直接搬入测试目录。,docs/refactor/snapshots/2026-07-25-02-file-inventory.csv；docs/refactor/snapshots/2026-07-25-06-duplicate-basenames.md；docs/refactor/snapshots/2026-07-25-11-files-by-category.md；docs/refactor/snapshots/2026-07-25-12-development-area-index.md；src/modules/institution/tests/WeComCustomerContactReadonlyProofMockApiRoute.test.ts
