current_path,current_category,before_recommended_action,after_recommended_action,recommended_target,risk,phase,manual_review_required,status,notes,review_decision,matrix_change_ready,changed_field
src/app/api/v1/institution/ai-models/route.ts,institution-app,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/institution/ai-models/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/knowledge-base/runtime/documents/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/knowledge-base/runtime/documents/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/knowledge-base/runtime/documents/upload/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/knowledge-base/runtime/documents/upload/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/knowledge-base/runtime/index-jobs/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/knowledge-base/runtime/index-jobs/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/knowledge-base/runtime/index-jobs/run/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/knowledge-base/runtime/index-jobs/run/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/knowledge-base/runtime/search/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/knowledge-base/runtime/search/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/ai-model-config/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/ai-model-config/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/ai-model-config/sync/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/ai-model-config/sync/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/ai-model-config/test/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/ai-model-config/test/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/ai-readonly/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/ai-readonly/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/ai-runtime/provider-config/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/ai-runtime/provider-config/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/ai-runtime/smoke/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/ai-runtime/smoke/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/ai-runtime/status/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/ai-runtime/status/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/ai-usage/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/ai-usage/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/homepage-brand/assets/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/homepage-brand/assets/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/homepage-brand/draft/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/homepage-brand/draft/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/homepage-brand/publish/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/homepage-brand/publish/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/homepage-brand/rollback/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/homepage-brand/rollback/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/homepage-brand/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/homepage-brand/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/homepage-brand/versions/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/homepage-brand/versions/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/knowledge-management/capabilities/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/knowledge-management/capabilities/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/knowledge-management/directories/[directoryId]/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/knowledge-management/directories/[directoryId]/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/knowledge-management/directories/reorder/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/knowledge-management/directories/reorder/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/knowledge-management/directories/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/knowledge-management/directories/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/knowledge-management/embeddings/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/knowledge-management/embeddings/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/knowledge-management/files/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/knowledge-management/files/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/download/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/download/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/chunks/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/chunks/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/visibility/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/visibility/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/knowledge-management/items/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/knowledge-management/items/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/knowledge-management/qa/audits/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/knowledge-management/qa/audits/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/knowledge-management/qa/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/knowledge-management/qa/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/knowledge-management/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/knowledge-management/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/knowledge-management/search/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/knowledge-management/search/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/knowledge-management/vector-search/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/knowledge-management/vector-search/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/package-ai-quota/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/package-ai-quota/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/plan-catalog/[planId]/versions/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/plan-catalog/[planId]/versions/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/plan-catalog/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/plan-catalog/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/plan-catalog/versions/[versionId]/publish/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/plan-catalog/versions/[versionId]/publish/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/plan-catalog/versions/[versionId]/retire/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/plan-catalog/versions/[versionId]/retire/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/plan-catalog/versions/[versionId]/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/plan-catalog/versions/[versionId]/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/provider-configs/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/provider-configs/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/provider-configs/smoke/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/provider-configs/smoke/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/tenant-plan-options/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/tenant-plan-options/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/tenants/[tenantId]/account/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/tenants/[tenantId]/account/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/tenants/[tenantId]/commercial-records/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/tenants/[tenantId]/commercial-records/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
src/app/api/v1/open-platform/tenants/[tenantId]/entitlement-usage/route.ts,api-route,KEEP_REVIEW,API_VERSION_REVIEW,src/app/api/v1/open-platform/tenants/[tenantId]/entitlement-usage/route.ts,low,review,yes,pending,需要人工确认职责。,approve_action_only,yes,recommended_action
