current_path,current_category,recommended_action,recommended_target,risk,phase,manual_review_required,status,notes
.DS_Store,other,KEEP_REVIEW,.DS_Store,low,review,yes,pending,需要人工确认职责。
.claude/.DS_Store,other,KEEP_REVIEW,.claude/.DS_Store,low,review,yes,pending,需要人工确认职责。
.claude/settings.local.json,other,KEEP_REVIEW,.claude/settings.local.json,low,review,yes,pending,需要人工确认职责。
.claude/skills/zmtg-pr-gatekeeper/SKILL.md,other,KEEP_REVIEW,.claude/skills/zmtg-pr-gatekeeper/SKILL.md,low,review,yes,pending,需要人工确认职责。
.claude/skills/zmtg-secret-migration-guard/SKILL.md,other,KEEP_REVIEW,.claude/skills/zmtg-secret-migration-guard/SKILL.md,low,review,yes,pending,需要人工确认职责。
.claude/skills/zmtg-ui-test-reviewer/SKILL.md,other,KEEP_REVIEW,.claude/skills/zmtg-ui-test-reviewer/SKILL.md,low,review,yes,pending,需要人工确认职责。
.env.example,other,KEEP_REVIEW,.env.example,low,review,yes,pending,需要人工确认职责。
.env.local,other,KEEP_REVIEW,.env.local,low,review,yes,pending,需要人工确认职责。
.gitignore,other,KEEP_REVIEW,.gitignore,low,review,yes,pending,需要人工确认职责。
.gitnexus/.DS_Store,other,KEEP_REVIEW,.gitnexus/.DS_Store,low,review,yes,pending,需要人工确认职责。
.gitnexus/.gitignore,other,KEEP_REVIEW,.gitnexus/.gitignore,low,review,yes,pending,需要人工确认职责。
.gitnexus/branches/feat_v08-05a-production-channel-readiness-guard-01-27a36bfd/lbug,other,KEEP_REVIEW,.gitnexus/branches/feat_v08-05a-production-channel-readiness-guard-01-27a36bfd/lbug,low,review,yes,pending,需要人工确认职责。
.gitnexus/branches/feat_v08-05a-production-channel-readiness-guard-01-27a36bfd/meta.json,other,KEEP_REVIEW,.gitnexus/branches/feat_v08-05a-production-channel-readiness-guard-01-27a36bfd/meta.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/branches/feat_v08-05b-b2-mock-provider-contract-01-caeb6fa6/lbug,other,KEEP_REVIEW,.gitnexus/branches/feat_v08-05b-b2-mock-provider-contract-01-caeb6fa6/lbug,low,review,yes,pending,需要人工确认职责。
.gitnexus/branches/feat_v08-05b-b2-mock-provider-contract-01-caeb6fa6/meta.json,other,KEEP_REVIEW,.gitnexus/branches/feat_v08-05b-b2-mock-provider-contract-01-caeb6fa6/meta.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/branches/feat_v08-05c-e1-wecom-customer-mapping-mock-domain-20260713-1f2f7b61/lbug,other,KEEP_REVIEW,.gitnexus/branches/feat_v08-05c-e1-wecom-customer-mapping-mock-domain-20260713-1f2f7b61/lbug,low,review,yes,pending,需要人工确认职责。
.gitnexus/branches/feat_v08-05c-e1-wecom-customer-mapping-mock-domain-20260713-1f2f7b61/meta.json,other,KEEP_REVIEW,.gitnexus/branches/feat_v08-05c-e1-wecom-customer-mapping-mock-domain-20260713-1f2f7b61/meta.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/branches/main-0d6e4079/lbug,other,KEEP_REVIEW,.gitnexus/branches/main-0d6e4079/lbug,low,review,yes,pending,需要人工确认职责。
.gitnexus/branches/main-0d6e4079/meta.json,other,KEEP_REVIEW,.gitnexus/branches/main-0d6e4079/meta.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/lbug,other,KEEP_REVIEW,.gitnexus/lbug,low,review,yes,pending,需要人工确认职责。
.gitnexus/meta.json,other,KEEP_REVIEW,.gitnexus/meta.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parse-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736.json,other,KEEP_REVIEW,.gitnexus/parse-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parse-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c.json,other,KEEP_REVIEW,.gitnexus/parse-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parse-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d.json,other,KEEP_REVIEW,.gitnexus/parse-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parse-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f.json,other,KEEP_REVIEW,.gitnexus/parse-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parse-cache/index.json,other,KEEP_REVIEW,.gitnexus/parse-cache/index.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w1-0.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w1-0.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w1-1.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w1-1.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w1-2.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w1-2.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w2-0.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w2-0.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w2-1.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w2-1.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w2-2.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w2-2.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w3-0.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w3-0.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w3-1.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w3-1.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w3-2.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w3-2.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w4-0.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w4-0.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w4-1.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w4-1.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w4-2.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w4-2.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w5-0.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w5-0.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w5-1.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w5-1.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w1-0.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w1-0.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w1-1.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w1-1.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w1-2.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w1-2.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w2-0.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w2-0.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w2-1.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w2-1.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w2-2.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w2-2.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w3-0.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w3-0.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w3-1.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w3-1.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w3-2.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w3-2.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w4-0.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w4-0.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w4-1.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w4-1.json,low,review,yes,pending,需要人工确认职责。
