order,current_surface,current_owner,current_role,w6b_runtime_decision
1,src/modules/institution/server/his-connection-credential-provider-failure.ts,institution,shared provider-failure plus legacy compensation literals,leave unchanged because active W6A credential service still imports it; canonical W6B domain copies exact compensation literals with test-only parity lock
2,src/modules/institution/server/his-connection-credential-compensation-retry-policy.ts,institution,pure retry policy,leave unchanged compatibility surface; canonical W6B retry policy gets exact behavior and parity tests; legacy production importers become zero after legacy worker blockade
3,src/modules/institution/server/his-connection-credential-compensation-operation-repository.ts,institution,operation read/write repository,replace with fail-closed legacy compatibility surface after canonical server repository is added
4,src/modules/institution/server/his-connection-credential-compensation-job-queue-repository.ts,institution,job queue read/write repository,replace with fail-closed legacy compatibility surface after canonical server repository is added
5,src/modules/institution/server/his-connection-credential-compensation-worker.ts,institution,application worker over injected repositories,replace with fail-closed legacy worker after canonical application worker is added
6,src/modules/institution-system/domain/his-connection-credential-compensation.ts,institution-system,new canonical compensation domain,own operation/job/provider-result literals validation and safe operation id contract
7,src/modules/institution-system/application/his-connection-credential-compensation-ports.ts,institution-system,new canonical ports,own operation and job repository interfaces consumed by canonical worker
8,src/modules/institution-system/application/his-connection-credential-compensation-retry-policy.ts,institution-system,new canonical retry policy,own retry/dead-letter decision behavior
9,src/modules/institution-system/application/his-connection-credential-compensation-worker.ts,institution-system,new canonical application worker,coordinate operation/job ports without owning DB transaction or activation
10,src/modules/institution-system/server/his-connection-credential-compensation-operation-repository.ts,institution-system,new canonical operation persistence Owner,own operation table insert/update and state CAS
11,src/modules/institution-system/server/his-connection-credential-compensation-job-queue-repository.ts,institution-system,new canonical job persistence Owner,own job table insert/update state+claimVersion CAS
