capability_key,section_id,target_route,current_route_state,formal_provenance,fresh_active_membership,active_institution_anchor,owner_capability_facts,trusted_server_clock,diagnostic_route_guard,capability_revision,scope_shape,read_only_semantics,low_sensitive_output,external_dependency,schema_or_migration_dependency,test_evidence,readiness_classification,blocker_reason
page_workbench,workbench,/hospital,capability_off_workbench,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,not_registered_diagnostic_target,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell+hospital_workbench_entry,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_customer_list,customers,/hospital/customers,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,not_registered_diagnostic_target,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_customer_treatments,customers,/hospital/customers/treatments,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,not_registered_diagnostic_target,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_conversation_queue,conversations,/hospital/conversations,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,not_registered_diagnostic_target,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_conversation_automations,conversations,/hospital/conversations/automations,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,not_registered_diagnostic_target,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_care_today_queue,care,/hospital/care,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,not_registered_diagnostic_target,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_care_appointments,care,/hospital/care/appointments,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,not_registered_diagnostic_target,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_care_followups,care,/hospital/care/followups,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,not_registered_diagnostic_target,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_care_paths,care,/hospital/care/paths,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,not_registered_diagnostic_target,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_knowledge_library,knowledge,/hospital/knowledge,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,not_registered_diagnostic_target,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
