route,methods,section_id,risk_family,governance_decision,required_guard_chain,runtime_policy,implementation_wave,rationale,source_sha256
src/app/api/institution/followup-paths/enrollments/[enrollmentId]/route.ts,GET,care,readonly_dynamic_object,eligible_for_object_guard_preflight,scope+section+object,preserve_current_status_payload_and_no_store,W1_OBJECT_READONLY,read-only dynamic object routes are the first executable governance slice,84679191699054446e79294a67f1b44475981ce021f57b02dc08427e58a6e4d7
src/app/api/institution/treatment-summaries/[summaryId]/follow-up-suggestions/route.ts,GET,care,readonly_dynamic_object,eligible_for_object_guard_preflight,scope+section+object,preserve_current_status_payload_and_no_store,W1_OBJECT_READONLY,read-only dynamic object routes are the first executable governance slice,6793d18244d9e52eefa928097d65991b68c10f9b545d13d9b7b5076e4672586f
src/app/api/institution/customers/[customerId]/followup-overview/route.ts,GET,customers,readonly_dynamic_object,eligible_for_object_guard_preflight,scope+section+object,preserve_current_status_payload_and_no_store,W1_OBJECT_READONLY,read-only dynamic object routes are the first executable governance slice,adce907180a9d7f4b49d43189d412ca6e9698227c14c326f40fb4017b470b08b
src/app/api/institution/customers/[customerId]/followup-timeline/route.ts,GET,customers,readonly_dynamic_object,eligible_for_object_guard_preflight,scope+section+object,preserve_current_status_payload_and_no_store,W1_OBJECT_READONLY,read-only dynamic object routes are the first executable governance slice,f2871d9b695ecac5b195516eca269dffa0b70bb03a05c4ad01a7682f78547118
src/app/api/institution/customers/[customerId]/timeline/route.ts,GET,customers,readonly_dynamic_object,eligible_for_object_guard_preflight,scope+section+object,preserve_current_status_payload_and_no_store,W1_OBJECT_READONLY,read-only dynamic object routes are the first executable governance slice,f583b4d7bd7551a115ab612e744c849db35ad3df8a425179f82e51abfced59e8
src/app/api/institution/knowledge-management/indexing-jobs/[jobId]/route.ts,GET,knowledge,readonly_dynamic_object,eligible_for_object_guard_preflight,scope+section+object,preserve_current_status_payload_and_no_store,W1_OBJECT_READONLY,read-only dynamic object routes are the first executable governance slice,0e22d5bd46d383a66996ef59200f6e0e065893bdafa951fb225d7805ef63bd08
src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/download/route.ts,GET,knowledge,readonly_dynamic_object,eligible_for_object_guard_preflight,scope+section+object,preserve_current_status_payload_and_no_store,W1_OBJECT_READONLY,read-only dynamic object routes are the first executable governance slice,90f043202a977437426c153a4451e83799ef225292d333dd828c0dd738a1aa23
src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/chunks/route.ts,GET,knowledge,readonly_dynamic_object,eligible_for_object_guard_preflight,scope+section+object,preserve_current_status_payload_and_no_store,W1_OBJECT_READONLY,read-only dynamic object routes are the first executable governance slice,a48fdd437e0bee830546c62d3dae07a36a7e77cf3c2914f32f781ab4e4ceeb55
src/app/api/institution/knowledge-management/items/[knowledgeId]/files/route.ts,GET,knowledge,readonly_dynamic_object,eligible_for_object_guard_preflight,scope+section+object,preserve_current_status_payload_and_no_store,W1_OBJECT_READONLY,read-only dynamic object routes are the first executable governance slice,764e9d854cd9ebf14661e8361faaae7741fc791713dda86801defc876884eccc
src/app/api/institution/dashboard-stats/route.ts,GET,system,legacy_or_compatibility,prove_retirement_or_canonical_delegation_before_guard,canonical_entry_guard_or_retirement_proof,do_not_duplicate_policy_on_compatibility_entry,W2_LEGACY,legacy and compatibility routes require canonical ownership proof,b3961b6889cc0f2fccc998fbe7c6121f8b88ea35e9629d1e99694e2cedd79de7
src/app/api/institution/follow-up-path-analysis/route.ts,GET,system,legacy_or_compatibility,prove_retirement_or_canonical_delegation_before_guard,canonical_entry_guard_or_retirement_proof,do_not_duplicate_policy_on_compatibility_entry,W2_LEGACY,legacy and compatibility routes require canonical ownership proof,8497b04f2898bb50f155d5c65da42777660bfa0cf7e10fd57af645ca6bbc86be
src/app/api/institution/opportunities/route.ts,GET,system,legacy_or_compatibility,prove_retirement_or_canonical_delegation_before_guard,canonical_entry_guard_or_retirement_proof,do_not_duplicate_policy_on_compatibility_entry,W2_LEGACY,legacy and compatibility routes require canonical ownership proof,0ba08f8f067a260f1e3e34acc97246ff5722f9bc543c3032a0c1d1cdfe48a305
src/app/api/v1/institution/ai-models/route.ts,GET,system,demo_fixture,prove_demo_only_or_remove_from_formal_completion,demo_only_or_formal_guard_if_exposed,no_demo_promotion_to_formal_runtime,W3_DEMO,demo and fixture exposure cannot silently become formal runtime,bcc3a246dd331cc319e50094d19676f82d96ac3b9c1370083f71226bf6209675
src/app/api/v1/institution/wecom-official-dry-run/route.ts,GET,conversations,external_touch,external_touch_preflight_and_safety_switch_required,scope+section+action_or_object+external_preflight+safety_switch,keep_real_touch_disabled,W5_EXTERNAL,external touch routes require preflight and safety switch evidence,2b3073e6be607975269a38d01d91ca46682b770661e0f1936e04eec5f5bee284
src/app/api/institution/followup-message-drafts/[draftId]/approve/route.ts,POST,care,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,scope+section+action_or_object+mutation_security,keep_current_fail_closed_behavior_no_broad_wrapper,W6_MUTATION,mutation routes require route-specific authorization and input security,5749be0ad79b9fd1f281ffc541b8833ae439150e37b4a5ca0ab2635ab594d8c6
src/app/api/institution/followup-message-drafts/[draftId]/mark-sent/route.ts,POST,care,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,scope+section+action_or_object+mutation_security,keep_current_fail_closed_behavior_no_broad_wrapper,W6_MUTATION,mutation routes require route-specific authorization and input security,5749be0ad79b9fd1f281ffc541b8833ae439150e37b4a5ca0ab2635ab594d8c6
src/app/api/institution/followup-message-drafts/[draftId]/reject/route.ts,POST,care,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,scope+section+action_or_object+mutation_security,keep_current_fail_closed_behavior_no_broad_wrapper,W6_MUTATION,mutation routes require route-specific authorization and input security,5749be0ad79b9fd1f281ffc541b8833ae439150e37b4a5ca0ab2635ab594d8c6
src/app/api/institution/followup-message-drafts/[draftId]/route.ts,PATCH,care,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,scope+section+action_or_object+mutation_security,keep_current_fail_closed_behavior_no_broad_wrapper,W6_MUTATION,mutation routes require route-specific authorization and input security,88965dc1115a5bba32ed0dafe5fcb93ba23950a9b10d597c15dc78a7842bb475
src/app/api/institution/followup-message-drafts/[draftId]/wecom-controlled-reachout/route.ts,GET|POST,care,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,scope+section+action_or_object+mutation_security,keep_current_fail_closed_behavior_no_broad_wrapper,W6_MUTATION,mutation routes require route-specific authorization and input security,f7b5993b3ba41a78552d88c6e898c64388b2bd3ac42accfa8fe03b45a4d0defa
src/app/api/institution/followup-message-drafts/[draftId]/wecom-customer-broadcast-task/route.ts,GET|POST,care,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,scope+section+action_or_object+mutation_security,keep_current_fail_closed_behavior_no_broad_wrapper,W6_MUTATION,mutation routes require route-specific authorization and input security,0a4322ec6f7e3434dcc68aa0222206a90f840f18b2ad3c7b4357b1da970f2101
src/app/api/institution/followup-message-drafts/route.ts,GET|POST,care,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,scope+section+action_or_object+mutation_security,keep_current_fail_closed_behavior_no_broad_wrapper,W6_MUTATION,mutation routes require route-specific authorization and input security,f37987e51522951cc1fb22ab323d72a5b201f3a4b2eb8f0a68ae7123db160994
src/app/api/institution/followup-paths/enrollments/[enrollmentId]/cancel/route.ts,POST,care,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,scope+section+action_or_object+mutation_security,keep_current_fail_closed_behavior_no_broad_wrapper,W6_MUTATION,mutation routes require route-specific authorization and input security,cb17ca94a426d69641bcbdc0990e62ed4460f1bc257312c6d73bd297c57f6f48
src/app/api/institution/followup-paths/enrollments/route.ts,GET|POST,care,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,scope+section+action_or_object+mutation_security,keep_current_fail_closed_behavior_no_broad_wrapper,W6_MUTATION,mutation routes require route-specific authorization and input security,9d7d981e0177579780e40089775ec6cd1fd97e9829756afb1d4571aa20f24f4d
src/app/api/institution/followups/route.ts,GET|POST|PATCH,care,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,scope+section+action_or_object+mutation_security,keep_current_fail_closed_behavior_no_broad_wrapper,W6_MUTATION,mutation routes require route-specific authorization and input security,ab0722e645e37a68c30dd6f3cd9560b2975a16b415a46e26031a50bbfaefd332
src/app/api/institution/treatment-summaries/[summaryId]/follow-up-tasks/route.ts,POST,care,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,scope+section+action_or_object+mutation_security,keep_current_fail_closed_behavior_no_broad_wrapper,W6_MUTATION,mutation routes require route-specific authorization and input security,d7a008abccfae9df96141161df0f8cd17bb2463fc93173eede72d6f3421b07d1
src/app/api/institution/treatment-summaries/[summaryId]/route.ts,PATCH,care,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,scope+section+action_or_object+mutation_security,keep_current_fail_closed_behavior_no_broad_wrapper,W6_MUTATION,mutation routes require route-specific authorization and input security,d16bfd13594d0097d3e9921c987da66c9cf03920020d3629a84c7011ee87e175
src/app/api/institution/treatment-summaries/[summaryId]/void/route.ts,POST,care,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,scope+section+action_or_object+mutation_security,keep_current_fail_closed_behavior_no_broad_wrapper,W6_MUTATION,mutation routes require route-specific authorization and input security,c2e9bc96189d637e2beb0a8057864f26806eadf9df1b40fdb9f334cad5c08e38
src/app/api/institution/real-channel-preflight/evaluate/route.ts,POST,conversations,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,scope+section+action_or_object+mutation_security,keep_current_fail_closed_behavior_no_broad_wrapper,W6_MUTATION,mutation routes require route-specific authorization and input security,b068a359c69dfbcab2212c54fb9904785a5332bed5fe50bd2c22e3926cb5b4b9
src/app/api/institution/real-channel-preflight/route.ts,GET|POST,conversations,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,scope+section+action_or_object+mutation_security,keep_current_fail_closed_behavior_no_broad_wrapper,W6_MUTATION,mutation routes require route-specific authorization and input security,72d13345cd4068b9bf5c8fac79946e4d06826cceb912639003035bc1ce7443a5
src/app/api/institution/wecom-customer-contact-precheck/route.ts,GET|POST,conversations,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,scope+section+action_or_object+mutation_security,keep_current_fail_closed_behavior_no_broad_wrapper,W6_MUTATION,mutation routes require route-specific authorization and input security,37dbf48eb61cd41a46523761cb64aedbf6af5dc8a82f73df594ee0f525055c28
src/app/api/institution/wecom-customer-contact-readonly-proof-mock/route.ts,GET|POST,conversations,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,scope+section+action_or_object+mutation_security,keep_current_fail_closed_behavior_no_broad_wrapper,W6_MUTATION,mutation routes require route-specific authorization and input security,d0c9c140d3188890c54f912ee8ae63828dca3b3ca62d150f40bac74813740a85
src/app/api/institution/wecom-customer-contact-readonly-proof/route.ts,GET|POST,conversations,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,scope+section+action_or_object+mutation_security,keep_current_fail_closed_behavior_no_broad_wrapper,W6_MUTATION,mutation routes require route-specific authorization and input security,f03290ea9aa63d1c83009f66e67a921eabada22061e23e7ac70066528315ab6c
src/app/api/institution/wecom-customer-mapping/route.ts,GET|POST,conversations,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,scope+section+action_or_object+mutation_security,keep_current_fail_closed_behavior_no_broad_wrapper,W6_MUTATION,mutation routes require route-specific authorization and input security,f375f88b854eeb99f36569994991bf03cc5439b1c7dbc3de01a92122f33ba029
